categories,is_ny,locations,title,url
"['Data &amp; Analytics', 'Data Science', 'Engineering &amp; IT', 'Software Engineering']",True,"['New York', 'USA']","Analytics Engineer, Content Analytics",https://www.spotifyjobs.com/job/analytics-engineer-content-analytics-ozrp9fwi/
"['Analytics', 'Data &amp; Analytics']",True,"['New York', 'USA']",Senior Product Insights Manager &#8211; Creator Marketplace,https://www.spotifyjobs.com/job/senior-product-insights-manager-creator-marketplace-oxvj9fwe/
"['Analytics', 'Data &amp; Analytics', 'User Research']",True,"['New York', 'USA']",Operations Partner &#8211; Creator Research Programs,https://www.spotifyjobs.com/job/operations-partner-creator-research-programs-odxj9fwm/
"['Analytics', 'Data &amp; Analytics', 'Engineering &amp; IT', 'Software Engineering']",True,"['New York', 'USA']",Data Engineer &#8211; Creator Marketplace,https://www.spotifyjobs.com/job/data-engineer-creator-marketplace-opek9fwg/
"['Analytics', 'Data &amp; Analytics']",True,"['New York', 'USA']","Product Insights Manager, Personalization",https://www.spotifyjobs.com/job/product-insights-manager-personalization-oa0x8fwz/
"['Analytics', 'Data &amp; Analytics', 'Data Science']",True,"['New York', 'USA']",Data Scientist &#8211; Infrastructure Engineering Insights,https://www.spotifyjobs.com/job/data-scientist-infrastructure-engineering-insights-olmj9fwj/
"['Data &amp; Analytics', 'Machine Learning', 'User Research']",True,"['New York', 'USA']",Research Director &#8211; Machine Learning,https://www.spotifyjobs.com/job/research-director-machine-learning-obmu8fwj/
"['Analytics', 'Data &amp; Analytics', 'Data Science']",False,"['Boston', 'USA']",Senior Data Scientist &#8211; Experimentation,https://www.spotifyjobs.com/job/senior-data-scientist-experimentation-o1dn9fwu/
"['Analytics', 'Data &amp; Analytics', 'Data Science']",True,"['New York', 'USA']",Senior Data Scientist &#8211; Metrics,https://www.spotifyjobs.com/job/senior-data-scientist-metrics-owen9fwq/
"['Data &amp; Analytics', 'User Research']",False,[],Senior Mixed Methods Researcher,https://www.spotifyjobs.com/job/senior-mixed-methods-researcher-oden9fw7/
"['Data &amp; Analytics', 'Machine Learning', 'User Research']",False,"['Boston', 'USA']",Research Scientist &#8211; Language Technologies,https://www.spotifyjobs.com/job/research-scientist-language-technologies-o7zh7fwe/
"['Analytics', 'Data &amp; Analytics', 'Data Science']",False,"['London', 'UK']","Manager, Data Science, Premium Analytics",https://www.spotifyjobs.com/job/manager-data-science-premium-analytics-obyn9fwp/
"['Analytics', 'Data &amp; Analytics', 'Data Science']",True,"['New York', 'USA']","Data Scientist, Analytics &#038; Insights",https://www.spotifyjobs.com/job/data-scientist-analytics-insights-oibn9fw9/
"['Analytics', 'Data &amp; Analytics']",False,"['Stockholm', 'Sweden']",Senior User Researcher &#8211; Platform &#038; Partner Experiences,https://www.spotifyjobs.com/job/senior-user-researcher-platform-partner-experiences-odsk8fwh/
"['Data &amp; Analytics', 'User Research']",False,"['Gothenburg', 'Sweden']",Senior User Research,https://www.spotifyjobs.com/job/senior-user-research-odfm9fw7/
"['Analytics', 'Data &amp; Analytics']",False,"['Gothenburg', 'Sweden']","Product Insights Manager, Consumer Experience",https://www.spotifyjobs.com/job/product-insights-manager-consumer-experience-ovfb9fwe/
"['Analytics', 'Data &amp; Analytics', 'Data Science']",True,"['New York', 'USA']",Data Scientist &#8211; Personalization,https://www.spotifyjobs.com/job/data-scientist-personalization-odsd6fw8/
"['Analytics', 'Data &amp; Analytics', 'Engineering &amp; IT', 'Software Engineering']",True,"['New York', 'USA']",Data Engineer &#8211; Markets,https://www.spotifyjobs.com/job/data-engineer-markets-onhk9fwh/
"['Data &amp; Analytics', 'User Research']",True,"['New York', 'USA']",Senior User Researcher,https://www.spotifyjobs.com/job/senior-user-researcher-om6u6fwc/
"['Data &amp; Analytics', 'Machine Learning', 'User Research']",True,"['New York', 'USA']","Research Scientist, Machine Learning",https://www.spotifyjobs.com/job/research-scientist-machine-learning-ookt8fwt/
"['Data &amp; Analytics', 'Machine Learning', 'User Research']",False,"['Boston', 'USA']","Research Scientist, Human-Computer Interaction",https://www.spotifyjobs.com/job/research-scientist-human-computer-interaction-omux9fwg/
"['Data &amp; Analytics', 'Engineering &amp; IT', 'Machine Learning', 'Software Engineering']",True,"['New York', 'USA']",VP of Engineering &#8211; Machine Learning,https://www.spotifyjobs.com/job/vp-of-engineering-machine-learning-o1tk9fw7/
"['Analytics', 'Data &amp; Analytics', 'Market Operations', 'Sales &amp; Marketing']",False,"['Stockholm', 'Sweden']",Senior Growth Manager for Soundtrap,https://www.spotifyjobs.com/job/senior-growth-manager-for-soundtrap-om1l9fwb/
"['Analytics', 'Data &amp; Analytics', 'Data Science']",True,"['New York', 'USA']","Data Analytics Engineer, Experimentation",https://www.spotifyjobs.com/job/data-analytics-engineer-experimentation-ormg9fwc/
"['Analytics', 'Data &amp; Analytics', 'Data Science']",False,"['Stockholm', 'Sweden']","Forecasting Lead, Premium Analytics",https://www.spotifyjobs.com/job/forecasting-lead-premium-analytics-onsy9fwg/
"['Analytics', 'Data &amp; Analytics']",True,"['New York', 'USA']","Senior Data Scientist, Experimentation Practice",https://www.spotifyjobs.com/job/senior-data-scientist-experimentation-practice-o7yf9fwn/
"['Analytics', 'Data &amp; Analytics', 'Data Science']",True,"['New York', 'USA']",Data Scientist &#8211; Content Marketing Engagement,https://www.spotifyjobs.com/job/data-scientist-content-marketing-engagement-oevz9fwb/
"['Analytics', 'Data &amp; Analytics', 'Data Science']",False,"['Stockholm', 'Sweden']",Product Insights Manager &#8211; Consumer Experience,https://www.spotifyjobs.com/job/product-insights-manager-consumer-experience-oxtg9fwz/
"['Data &amp; Analytics', 'User Research']",False,"['Boston', 'USA']",Senior User Researcher &#8211; Personalization,https://www.spotifyjobs.com/job/senior-user-researcher-personalization-oq5o7fwk/
"['Data &amp; Analytics', 'User Research']",True,"['New York', 'USA']",Quantitative Market Researcher &#8211; Growth Opportunities,https://www.spotifyjobs.com/job/quantitative-market-researcher-growth-opportunities-ollb9fw0/
"['Analytics', 'Data &amp; Analytics', 'Data Science']",True,"['New York', 'USA']",Data Scientist &#8211; Content Marketing Acquisition,https://www.spotifyjobs.com/job/data-scientist-content-marketing-acquisition-oubd9fwb/
"['Data &amp; Analytics', 'Design &amp; UX', 'Product Design', 'User Research']",False,"['Stockholm', 'Sweden']",Senior User Researcher,https://www.spotifyjobs.com/job/senior-user-researcher-ognu8fwp/
"['Analytics', 'Data &amp; Analytics']",False,"['Singapore', 'Singapore']","Data Scientist, Premium Analytics",https://www.spotifyjobs.com/job/data-scientist-premium-analytics-odnl8fwd/
"['Data &amp; Analytics', 'Data Science', 'Engineering &amp; IT', 'Software Engineering']",False,"['Stockholm', 'Sweden']",Software Developer &#8211; Growth Initiatives for the Soundtrap hub,https://www.spotifyjobs.com/job/software-developer-growth-initiatives-for-the-soundtrap-hub-oleo9fwg/
"['Analytics', 'Data &amp; Analytics']",False,"['Tokyo', 'Japan']","Data Scientist, Japan",https://www.spotifyjobs.com/job/data-scientist-japan-ou1s9fwq/
"['Analytics', 'Data &amp; Analytics', 'User Research']",False,"['Stockholm', 'Sweden']","Insights Lead, Global Product for Growth Opportunities",https://www.spotifyjobs.com/job/insights-lead-global-product-for-growth-opportunities-objj7fw4/
"['Analytics', 'Data &amp; Analytics', 'Data Science']",False,"['Stockholm', 'Sweden']",Sr. Data Scientist &#8211; Data for Insights Practice,https://www.spotifyjobs.com/job/sr-data-scientist-data-for-insights-practice-oorh9fwp/
"['Analytics', 'Data &amp; Analytics', 'Data Science']",False,"['Stockholm', 'Sweden']",Data Scientist &#8211; Platform &#038; Partner Experiences,https://www.spotifyjobs.com/job/data-scientist-platform-partner-experiences-owzf8fwc/
"['Analytics', 'Data &amp; Analytics', 'User Research']",False,"['Stockholm', 'Sweden']",Director of Product Insights,https://www.spotifyjobs.com/job/director-of-product-insights-oom77fwi/
